,message,category
32,"When the first shock from Beyoncé's new haircut - the “powerful bob” - began to pass, the stylists finally started talking about the collection of clothes, which was dedicated to the beauty image. The singer single-handedly presented a new capsule dedicated to Valentine's Day. About great love and romance in it, of course, they speak of classic colors - red and pink. The superstar of the collection for February 14 is a sports transparent jumpsuit that pays tribute to the fashionable direction of color-block due to avant-garde inserts in pink and orange colors. They are thought out so cleverly that at the same time they perform the role of a “photoshop” in clothes: they visually make the buttocks more toned and rounded, increase the chest size and skillfully hide the waist. At the same time, the corrective model itself, with the exception of inserts, is absolutely transparent. This image of Beyoncé reminded us of the sports aesthetic of the 1990s and the fashion for aerobics. Very topical!",2
33,"The original brand with a crazy discount is a reality❗️❗️❗️Husband and wife living and working in Italy🇮🇹 buy branded clothes and shoes from boutiques and wholesalers in Italy. They have a discount on new collections, on all brands up to -40% and a discount on previous collections up to -70% of the boutique price❗️Fast delivery worldwide. We cooperate with more than 10 boutiques, visit us👇 https://t.me/brand_shopitaliahttps://t.me/brand_shopitaliahttps://t.me/brand_shopitalia",2
34,"Green is the most life-affirming and optimistic color of clothing for spring, which awakens the inhabitants of the metropolis who are tired of the dullness. So, Bella Hadid, who is preparing for the start of New York Fashion Week, is already shining in a freshly cut grass-colored crop top. The model was seen on one of the streets of the Big Apple in an interesting way. The star wore a crop top with a collar, wide jeans and rough boots. From above, the star threw on a beige leather jacket in the style of the 90s, and preferred a vintage Chanel model as a bag.",2
35,Coach Resort Spring-Summer 2022 Collection,2
36,Ulla Johnson Ready-To-Wear Collection Fall-Winter 2022/2023,2
37,"The main Hollywood ""Gossip Girl"" is close friends with Michael Kors, and even in moments of ""high secrecy"" in his personal life, he tries not to miss the brand's shows. Blake took a front row seat at the Fall/Winter 2022 collection show as part of New York Fashion Week. And at the same time she looked simply luxurious! The wife of Ryan Reynolds and the mother of three children can safely consider herself an unofficial brand ambassador without an official title. ""Glamour of the big city"", embedded in the DNA of Michael Kors, she personifies impeccably. Lively looked radiant and ready for spring in a three-piece suit in a trendy soft blue hue. The place of trousers and vests in this set was taken by a shortened bra-top paired with a pencil skirt. It seems that there are simply no flaws in the figure of this famous woman. Sexy, yet very sophisticated.",2
38,"Every season, the show of the new Michael Kors Collection becomes one of the most significant and memorable events of New York Fashion Week. And the show that took place tonight was no exception. Michael Kors invited his muses to demonstrate his work: Gigi and Bella Hadid, Irina Shayk, Jill Kortlev, Emily Ratajkowski and other supermodels. The designer's girlfriends went out to the guests in evening dresses and shiny raincoats, coats with a ""predatory"" print and knitted suits - all these images are the personification of the new American classics for modern women who do not hesitate to demonstrate their strength and sexuality.",2
39,Carolina Herrera Ready-To-Wear Fall-Winter 2022/2023 Collection,2
40,"The other day, a Guerlain brand dinner was held in a Parisian restaurant. Among the guests of the event was the brand ambassador, Russian model and philanthropist Natalia Vodianova. For the evening, the 39-year-old celebrity chose a very effective and stylish look. Natalia made a bet on an unusual mini-dress with a charming pleated skirt and a complex top with draperies. The model complemented the outfit with laconic makeup with an emphasis on scarlet lips. Relaxed styling was a successful completion of the outfit.",2
41,Ulla Johnson Ready-To-Wear Collection Fall-Winter 2022/2023,2
42,Oscar de la Renta Ready-To-Wear Collection Fall-Winter 2022/2023,2
43,"Tina Kunaki became the face of the new H&M Studio collection, on her Instagram page the model posted the first frame from the advertising campaign. The 24-year-old celebrity is pictured posing in a stylish red sweatshirt with rivets on the sleeves. It is not the first season that this outerwear remains relevant. In the spring season, the olympian will also be in trend. In addition, such outerwear is a great alternative to blazers and will appeal to those who prefer a sporty style.",2
44,Prabal Gurung Ready-To-Wear Collection Fall-Winter 2022/2023,2
45,"The pandemic and the global lockdown have greatly affected the work of young designer Matty Bovan, who has taken a great interest in needlework and spent the whole year knitting and studying folk crafts in the States, where he recently moved. Most of all, the Briton was impressed by patchwork quilts, rag rugs and checkered towels. The result was a collection of Matty Bovan called Americana, which he presented as part of London Fashion Week. We honestly admit that creativity reminded us more of Russian “chubby” rag dolls-warmers for a teapot. Or folk amulets dolls, which were made from shreds and decorated with aprons. In this vein, it is symbolic that some of the images were presented on the catwalk by the Russian supermodel Irina Shayk.",2
46,"The show of the new autumn-winter Prada collection has ended in Milan. This season, the design duo decided to dedicate it to models - shortly before the start of the show, videos appeared on the brand's Instagram account, for which the main stars of the modeling business showed their children's photos and videos. Thus, the collection has become an ode to women, their lifestyle, beauty and inner strength. This, first of all, was expressed in contrasts: absolutely transparent skirts were combined with strict masculine-cut jackets and voluminous sheepskin coats, weightless dresses were worn over basic T-shirts, and laconic coats were decorated with bright fur inserts.",2
47,Chanel Couture Spring-Summer 2022 Collection,2
48,"How to understand what is stylish and what is not? How to choose really trendy things, easy to combine them and look good? If you do not plan to be professionally engaged in fashion and design, but want to conquer the basics of style for yourself, I recommend training your watchfulness: ▪ watch fashion shows ▪ at least 10 minutes a day « walk"" on Pinterest ▪ find cool photographers ▪ subscribe to trendsetters - top designers, stylists, models read the blog at https://instagram.com/vikatorrez?utm_medium=copy_linkWatch, read, get inspired. Be stylish with https://instagram.com/vikatorrez?utm_medium=copy_link🤍",2
49,"The last day of the Milan Fashion Week ended loudly - with the show of the Bottega Veneta autumn-winter collection, created by the new creative director. Shortly before the show, the designer introduced an application in which everyone could connect to a live broadcast and see the images from all angles - according to the designer, this was done so that buyers could see things in motion, literally “feel” them with their eyes. The designer also said that this collection is the basis of a new era of the brand. In his work, he is going to use Bottega Veneta's connection with the Italian heritage, return to the era of the 70s, be inspired by cultural figures and art objects.",2
50,Dsquared2 Ready-To-Wear Fall-Winter 2022/2023 Collection,2
51,The largest store of women's bags and accessories in Russia! 👜🌂 - Direct suppliers; - High quality; - Low prices; - All goods are in stock; Subscribe to our telegram channel ❤️,2
52,"Tina Kunaki has become the new face of the Make Up For Ever advertising campaign. You definitely believe such a beauty with a catchy make-up! In social networks, she shared a beauty look with a bright make-up with an emphasis on sensual lips: a gradient in chocolate tones creates a magnetic effect. Note to owners of plump lips who want to experiment with a smile. On the contrast we perform the fashion-image of the star. The perfect frame is an Alexandre Vauthier dress in thin milky suede with oversized shoulders, delicate draping and a shawl skirt.",2
53,"Louis Vuitton closes in Russia The eminent French fashion house closes the doors of all its Russian boutiques from March 6th. The LVMH group of companies, the largest player in the luxury fashion sector, has announced for the first time that it is imposing its own restrictions on working with Russia. The official statement of the company says that more than a hundred stores of the Louis Vuitton brand in our country will be closed.",2
54,Luisa Beccaria Ready-To-Wear Collection Fall-Winter 2022/2023,2
55,"Pearl dresses, facial piercings and layered hoodies in the new Givenchy collection “I wanted to create a synthesis of powerful, sophisticated femininity with American and Parisian sports motifs,” describes the new Givenchy collection, creative director of the brand Matthew Williams. His idea was expressed in a combination of different textures and shapes: multi-layered sweatshirts with prints were worn with leather over the knee boots, jackets and bombers, and “multi-story” skirts made of transparent and fluffy fabric were combined with cropped tops, contrasting turtlenecks and sweaters.",2
56,"It is difficult to say exactly how the general obsession with the style of the 2000s began, but the Miu Miu spring-summer collection made a serious contribution to this “madness”, where low-rise microskirts became the main trend. As a result, they managed to appear everywhere: on the red carpet, on the covers of glossy magazines, on the instagrams of fashion influencers ... Absolutely everyone wanted these skirts (and continue to want them). And since the success is so deafening, why not repeat it? So, the autumn-winter season Miuccia Prada again proclaims the season of miniskirts - this time the designer suggests combining them with silk boxers, which must certainly look out, shortened polo, diamond-shaped sweaters and oversized jackets. In addition, the collection includes the same short shorts - they come with zip-up sweaters, shirts and long plaid coats.",2
57,"To his impressive collection of Grammy figurines, Billie Eilish is preparing to add the most coveted Oscar award. The performer, along with her brother-producer/composer, claims the award in the category ""Best Original Song"" for her work on the soundtrack for the latest Bond. She stepped onto the blue carpet ""in character"". Games in the cheerful blonde in the past, back to black hair and depressive facial expressions. Cocktail look for the 2022 Oscar nominees dinner - a Gucci set of a black velvet shirt, a nude skirt with a branded mesh and Mary Jane shoes on an impressive platform. Curtsey to the camera for bored fans.",2
58,Christian Dior Ready-To-Wear Collection Fall-Winter 2022/2023,2
59,"⚡️Transferring an Instagram platform to Telegram: a niche that needs to be developed together. The recently blocked (conditionally) and little-understood messenger Telegram was just gaining an audience, and now it is almost the only communication channel for expressing their thoughts and a whole platform for advertisers. At the moment, telegram is one of the last (if not the only) frontiers for free expression, doing business and distributing content and everything that you need to convey to the masses. The TGMPROMO team is ready to provide comprehensive support to bloggers who do not give up and transfer accounts to the platform messenger. In this regard, we offer discounts from 15% on advertising services. More information on the website or from the manager in private messages.",2
60,Jil Sander Ready-To-Wear Fall-Winter 2022/2023 Collection,2
61,"Biodepo is a Russian eco-friendly brand of natural cosmetics with natural essential oils and luxurious fragrances💚The products are approved by Ecogolik, are not tested on animals, and the packaging is made of recyclable plastic.If you are familiar with the problems of brittle, electrified and fluffy hair, then Biodepo brand products are a salvation your hair. And shower gels perfectly cleanse the skin! 🍀While all care brands raise their price tags, now Biodepo products can be bought at a nice price with a 25% discount at Wildberries, Ozon and Sbermegamarket",2
62,"Special offer 1000r discount for the first visit for new clients. At your service: - Lip contouring - Cheekbones - Correction of the lower third of the face - Chin - Profile, - Meso therapy - Buttock augmentation and much more * To receive a discount, you must subscribe to our telegram channel Telegram: https://t.me/lips_for_kiss#Advertising_material",2
63,Telegram channel with the most fashionable novelties of this season. Both world brands and own production. Only the best quality💫https://t.me/dymostudio,2
64,Chanel Ready-To-Wear Collection Fall-Winter 2022/2023,2
65,"Why can't you lose weight? What exercises are right for you? How does your diet affect your weight? What products can be taken on the shelves of the store, and which ones are better to bypass? These and other questions are answered by nutritionist Yulia Ushakova on the channel of the Kilo marathon in grams. Yulia is an honored master of sports and a two-time world champion, she still knows what needs to be done to look attractive .Sign up for the marathon http://kilotogram.com/ and in 21 days you will become the owner of a perfect body.",2
66,"Natalie Portman shone at the premiere of the film, appearing in a small scarlet Dior dress. The muse of the French brand completed the outfit with a “heart” neckline with an elegant matching blazer, a bag on a chain and shoes with an open heel. The stylists removed the beautiful brown-haired hair in a high bun, and in the makeup they relied on romance. The favorite “move” of makeup artists in the case of Natalie Portman was again a success - soft pink blush on the apples of her cheeks made the image fresh and radiant.",2
67,Victoria Beckham Ready-To-Wear Fall-Winter 2022/2023 Collection,2
68,"Dakota Johnson presented the drama ""Slowly Cha-Cha"" at the Texas Film Festival. It is curious that for Dakota this is already the second major role of a mother with a difficult child in the cinema (remember at least the recent “Unknown Daughter”). At the premiere, Dakota appeared in her favorite retro style of the 1970s, and in her favorite Gucci. The actress has long been friendly with the Italian brand. A suit in a hippie aesthetic with an active pattern and a nude bodysuit with cherished logos - it is difficult to imagine a better ambassador. Johnson incredibly goes this style, especially in combination with thick bangs from the same fashionable decade.",2
69,Lanvin Ready-To-Wear Fall-Winter 2022/2023 Collection,2
70,Dolce & Gabbana Ready-To-Wear Collection Fall-Winter 2022/2023,2
71,Coperni Ready-To-Wear Collection Fall-Winter 2022/2023,2
72,"Friends, the clothing brand ""Modus Fashion"" has its own telegram channel https://t.me/modusfashion 🔝Where almost every week they hold draws and indulge their subscribers with discounts🌪🌪But besides this, you will find advice from a stylist and a lot interesting, feminine things🙏❤️ In general, they will give you a spiritual atmosphere, love and mood.",2
73,Giambattista Valli Ready-To-Wear Fall-Winter 2022/2023 Collection,2
74,Giambattista Valli Ready-To-Wear Fall-Winter 2022/2023 Collection,2
75,"Trench coat - outerwear, which is always an image of the classic style, the trench coat is indispensable in the wardrobe of any woman. Its amazing ability to complement ""put together"" various sets, whether it be a sports or classic office suit, casual denim or evening wear, made this raincoat megapopular. Please yourself this spring, be irresistible! An order can be placed in my Pavana Bianco store at the Wildberries site, as well as at the link: https://www.wildberries.ru/catalog/66779886/detail.aspx?targetUrl=SN",2
76,Jean Paul Gaultier Couture Spring-Summer 2022 Collection,2
77,Jean Paul Gaultier Couture Spring-Summer 2022 Collection,2
78,Off-White Ready-To-Wear Fall-Winter 2022/2023 Collection,2
79,Natalie Portman in a photo shoot for ELLE Magazine France,2
80,Yohji Yamamoto Ready-To-Wear Fall-Winter 2022/2023 Collection,2
81,Jennifer Aniston (Jennifer Aniston) in a photo shoot for Vogue US,2
82,"If you don't know what look to choose for early spring, one of the most elegant women of our time, Rosie Huntington-Whiteley, is in a hurry to help you. A loose midi dress, complete with ankle boots and a small matching bag, will do all the work for you. An alternative to Rosie's dress easy to find among Russian brands. For example, Emka offers several options at once with a straight and A-silhouette. It remains to decide which dress you will choose.Subscribe to the brand's Telegram channel to receive information about the latest arrivals.",2
83,"Heidi Klum (Heidi Klum) at the party in honor of the ""Oscar-2022""",2
84,Versace Ready-To-Wear Fall-Winter 2022/2023 Collection,2
85,Tod's Ready-To-Wear Fall-Winter 2022/2023 Collection,2
86,"In the past, Kendall Jenner wore extremely provocative and very seductive dresses at the Oscars after-party. This year, the model made an exception and appeared in an unusual Balenciaga total look. The 26-year-old model wore an asymmetrical black dress with crinkle draperies, pointy leather ankle boots and futuristic-framed glasses. Long red hair Kendall collected in a neat high ponytail. The makeup artist of the actress relied on discreet makeup with an emphasis on arrows and matte lipstick.",2
87,"TV presenter and fashion historian Alexander Vasiliev visited the HC, who shared the latest news from the fashion world and showed the spring/summer 2022 trends. A full video with tips and tricks will be released very soon, don't miss it. And right now, a competition is taking place on the XC channel, in which Alexander Vasiliev's book ""PARIS-MOSCOW, LONG RETURN"" with the author's personal autograph is being raffled off. Hurry up to take part in the competition, maybe you will get an exclusive book! 👇🔸https://t.me/hcmodainfo/175",2
88,"Lily James (Lily James) at the party in honor of ""Oscar-2022""",2
89,"World mass market or Russian brands? We decided to take a closer look at the local women's clothing showrooms and were pleasantly surprised - in fact, our production is in no way inferior to the abundance of elegant classic looks and trendy items at affordable prices found in toplookspb.ru. Using the promo code “krasota”, you will have a 10% discount in stores and on the website until May 1 (for everything except the “Sale” section).",2
90,Dolce & Gabbana Ready-To-Wear Collection Fall-Winter 2022/2023,2
91,"Kim Kardashian (Kim Kardashian) at the party in honor of ""Oscar-2022""",2
92,Alberta Ferretti Ready-To-Wear Collection Fall-Winter 2022/2023,2
93,"Rita Ora (Rita Ora) at the party in honor of ""Oscar-2022""",2
94,Gigi Hadid (Gigi Hadid) in a photo shoot for Vogue Brazil,2
95,Irina Shayk at the annual ball of the Costume Institute Met Gala 2021,2
96,Giambattista Valli Ready-To-Wear Fall-Winter 2022/2023 Collection,2
97,Vittoria Ceretti at the annual ball of the Costume Institute Met Gala 2021,2
98,MSGM Ready-To-Wear Fall-Winter 2022/2023 Collection,2
99,✨️ Compatibility horoscope. Find out what signs you have perfect 💘Learn,2
100,"Zarina x Ruban collaboration and other fashion news of the weekZarina presented a collection with RUBANTwo Russian brands, Zarina and Ruban, launched a joint collection. The design duo of the Ruban sisters is known for their unconventional interpretation of classic models, which is also reflected in the new collection with Zarina. Convertible trench coats with detachable sleeves, wide trousers with cutouts at the waist, a cropped white shirt with ties are just a small part of the fashion experiments that you will find in the new collection. The project was implemented in cooperation with the fashion agency Front Row Buro.",2
101,"“You must have style. He helps you down the stairs. It helps to get up in the morning. It's a way of life. Without it, you are nothing. And now I'm not talking about the number of clothes. Diana Vreeland",2
102,"LONG CARDIGAN + NEON TURTLET There is a risk that a long cardigan in a neutral color can look like a find from a grandmother's chest. To prevent this, stylize the thing as boldly as possible: in the lookbook, we spied a combination with a neon turtleneck - it turns out extremely fresh.",2
103,"Julia Fox stars as flight attendant in Supreme campaign Julia Fox stars in Supreme's spring-summer advertising campaign. In photos and videos, the famous model poses as a flight attendant along with skateboarders Tyshawn Jones, Sean Pablo and Matthias Sauvageon. screenwriter of the cult film ""Children"" and director of the no less cult film ""Gummo"". Previously, he has repeatedly collaborated with Gucci and Alessandro Michele.",2
104,"Trends 2022 Mesh For Ludovic de Saint-Sernin, for example, the mesh turned out to be torn, while Regina Pio and Supriya Lele got a classic black and white lattice. Veneta), and headwear (Christian Cowan), and dresses (in the Halpern ballet collection), and tops with skirts (David Koma). So the trend of last season “a holiday that is always with you” will not weaken in the next season.",2
105,"Purple and orange is the trendiest color combination for spring We all remember that Pantone announced the 2022 color of the year lilac, very close to purple, or, as the Very Peri institute called it. And before that, we saw plum, lilac, eggplant and other similar shades in the spring-summer 2022 collections of Valentino, Isabel Marant and Lanvin.",2
106,"Oversized jackets in the spirit of the 1980s are backIt would seem that the statement that a good jacket must be oversized has already become a kind of fashionable axiom. However, in the wake of the universal love for the zeros over the past few seasons, the silhouettes have become narrower, and some designers have switched to completely fitted models that border on cardigans. Of course, there is nothing reprehensible in them, but still, the 2000s have already become a little boring and now, it seems, they are gradually receding.",2
107,"Pink is the color of love and freedom, insists Pierpaolo Piccioli. 30 items in the palette of the new Valentino collectionYesterday, as part of Paris Fashion Week, Pierpaolo Piccioli presented the Valentino autumn collection, made only in two colors - pink and black. There were many times more of the first at the show - at least because the podium and scenery were also painted in it. 40 models (out of 81), dressed from head to toe in pink, came out one after another at the beginning of the show, then they were interrupted by a line of total black looks, and we saw eight more triumphant pink looks at the finale.",2
108,"The bomber jacket is the ultimate street style jacket. American college style has taken the fashion world by storm. For example, bombers are now worn not only by football team players, but also by street style stars, among them guests of the Fall-Winter 2022 Fashion Weeks. They mainly preferred vintage models with colorful appliqués.",2
109,"How feminism is changing attitudes towards physicality and beauty standards Recently, the president instructed to consider the creation in Russia of a registry of ""toxic"" Internet content. The idea belongs to HRC member Igor Ashmanov - he insists that Russians need state protection from ""toxic"" information that harms our society. The list of topics identified by Ashmanov as “harmful and destructive” surprisingly included, among other things, radical feminism, the “ideology of childlessness” (childfree), abortion, and LGBT+.",2
110,"Spring is a great time to get rid of everything unnecessary in the wardrobe. And here the most difficult thing begins - how to part with the old things with which we are connected by memories of fun parties, best dates and travels? One of the most popular rules when doing an audit is to keep only those clothes that bring joy. It is quite blurry, so we decided to make it easier for you. To start the new season with a really disassembled closet, here are nine simple tips that will teach you to discard the unnecessary and determine at a glance what things it is time to go for recycling.",2
111,"The pacifist sign is one of the most recognizable in the world. But few people know that its official name is CND sign, and even less about the story behind it. The Pacific, an international symbol of peace, was created in 1958 by British artist, designer and Royal College of Art graduate Gerald Holtom. This logo was a symbol of nuclear disarmament, and the British Campaign of Nuclear Disarmament (hence the abbreviation CND sign) adopted it the same year.",2
112,"The new Chloé collection proves once again that leather trousers are a worthy alternative to jeans. Gabriela Hirst is one of those designers whose collections should not just be looked at, but studied. Her label Gabriela Hearst and Chloé, where she has been creative director since last year, hides not only an important eco-initiative, but also concern for those who will wear these clothes (remember the pockets with silver particles that prevent radiation from smartphones?). For fall-winter 2022, Hirst created an entire capsule wardrobe made of leather for Chloé, and although it is not eco-leather, there is also a conscious approach here.",2
113,"Literally every model appeared at The Row Resort 2023 show. They complemented long bustier dresses, trouser suits, strict straight-cut midi skirts, coats and trench coats. For all of us, this is the first year when we might not even notice that spring has come, and this season loafers are needed more than ever. On our own, we add that you can wear them with jeans, and with suits, and with a skirt of any length, and with straight-cut trousers. And one more argument - loafers will be a smart investment in your wardrobe. In other words, you can be sure that in the coming years they will definitely not lose their relevance.",2
114,"Now, when such events are taking place in the world, it is difficult to concentrate on anything other than the news bulletin. The advice to get distracted in these realities would be inappropriate and hardly appropriate, but we also suggest thinking about your body and helping it cope with stress for which it was clearly not ready. And sports will be an effective medicine - whether it's just aerobics, running or intense training in the gym. Once you start, and you will immediately get involved in the process, and the new sports uniform will become an additional motivation.",2
115,"A white shirt gets along with tailcoats, alcoholic T-shirts, trouser suits and long skirts. They are a staple of Caroline Bessette-Kennedy's wardrobe and are still loved by Carolina Herrera. And it is also the basis of the office wardrobe and at the same time - paradoxically - and a symbol of freedom.",2
116,"Paris Fashion Week opened with a tribute show to Virgil Abloh, a man who, without exaggeration, changed the fashion world and people along with it. After the designer's death, it was immediately clear that the show of his latest Off-White collection (as well as the last collection of Louis Vuitton) would be emotional and memorable. To honor the memory of Virgil Abloh and pay tribute to him, supermodels and other stars took to the podium.",2
117,"Virgil is a designer to whom few people were indifferent. He was ardently loved by young people who were ready to spend the night in lines for sneakers from his new drop, and just as ardently scolded by respected fashion critics. An architect by training, a creative consultant and a DJ by vocation, he has created more mixtapes than groundbreaking designs in fashion. He was often accused of plagiarism and not taken too seriously - understanding the fact that he was part of a new generation of designers, but not accepting the vast majority of what he did.",2
118,"And Balenciaga seems to be planning to bring neon back into fashion. Yesterday, Demna unveiled the brand's new ad campaign, starring Kim Kardashian and Isabelle Huppert. The third protagonist of this shoot was a neon green Le Cagole bag (better known as a biker bag thanks to American Vogue editor Liana Satenstein). Kim appeared with her in the frame - in an all-black look - so this bag became the only contrasting accent.",2
119,"The previous creative director of Burberry, Christopher Bailey, by the way, made such an attempt in 2012. True, he invited Adele as a plus-size design consultant, which made the whole idea more like a PR stunt. The singer seemed to agree and even discussed something with Bailey, but judging by the fact that today she weighs almost 50 kilograms less, she failed to revolutionize the industry. I had to lose weight - now Schiaparelli couture dresses by Daniel Roseberry and trendy young designer Harris Reed are sitting on her like a glove.",2
120,"Alexandra Maniovich, who graduated from Parsons in Paris in 2020, says that the institute encourages students to create plus-size fashion, but does not contribute to this: “On the one hand, teachers tell you: “There are different sizes, races and shapes” , and on the other hand, they do not give you the opportunity to make clothes for them, except for your own money. There were two size M mannequins for the entire university - all the rest are French 36th, that is, S.",2
121,"Rihanna's photos from last week (of her in a pink puffer jacket and ripped jeans) made it hard not to notice not only the big news she brought to the world, but also the massive jewelry that highlighted her belly. And if a fashion diva like Rihanna chooses a catchy vintage Christian Lacroix, and even on such an important occasion, this is a clear sign that large jewelry is back in fashion. (Moreover, it is not the first time she appears in them.)",2
122,"Chanel In 1978, Carl launches his first signature Lagerfeld cologne for men. In the 1980s, Lagerfeld became artistic director of Chanel. He ingeniously handled the legacy of the brand. In a word, Lagerfeld gave him back his life, because after the death of Coco, Chanel fell on hard times.",2
123,"“Fashion is an attempt to visualize aspects of reality that are invisible to the eye,” he wrote in the accompanying booklet for the 2005 Metropolitan Museum of Art Chanel exhibition. From the very first Chanel shows, Lagerfeld demonstrated his insightful understanding of the importance of imagery and hype. His collections have gained iconic status, with models on the runway wearing branded hockey sticks, surfboards and shopping carts. ""Lagerfeld's strength is that he is equally good at creating context and fashion clothes""",2
124,"Do you want to quickly update your wardrobe for spring, without resorting to drastic rearrangements? Make him sparkle with new colors. To do this, just add a few trendy shades that are right now running the show at Fashion Week. Let them dilute your monochrome images and help bring warming closer. Do you believe in the power of color therapy? Let it begin to act on the weather. As Rihanna said, fake it till you make it. Meet the top five spring-summer 2022 colors to add to your wardrobe right now.",2
125,"Among the followers of the trend is the Mugler brand. Its creative director, Casey Cadwallader, continues the legacy of the great Thierry Mugler by creating sexy clothes using cutting-edge technology. “Mugler’s concept is that clothes should not be restrictive, they should emphasize curves,” he said about his spring-summer 2022 collection.",2
